URI|PROPERTY|ENGLISH LABEL|TRANSLATION|POSTPROCESSING (RULES)|FEEDBACK|BLEU|FR SIMILARITY (tran vs feedback)|EN SIMILARITY (tran vs en)|Lev|Multiple
http://snomed.info/id/108343000|http://www.w3.org/2004/02/skos/core#prefLabel|Hospital AND/OR institution|hôpital et / ou institution.|hôpital et/ou institution|hôpital et/ou établissement|0.5773502691896257|0.9939131140708923|1|11|hôpital et / ou institution. L:0.17 M:0.99|hôpital et / ou institution L:0.13 M:0.99|hôpital et / ou établissement. L:0.05 M:0.98|hôpital et / ou établissement L:0.02 M:0.99|hôpital ET / ou institution L:0.02 M:0.99
http://snomed.info/id/111059006|http://www.w3.org/2004/02/skos/core#prefLabel|Swamp|marais|marais|OK|1.0|1|0.6947660446166992|0|marais L:0.04 M:0.69|peste L:0.03 M:0.48|déglutition L:0.01 M:0.36|écouvillon L:0.01 M:0.23|marais. L:0.01 M:0.54
http://snomed.info/id/113173007|http://www.w3.org/2004/02/skos/core#prefLabel|Domiciliary|domiciliaire|domiciliaire|à domicile|0.0|0.8743432760238647|0.7261530756950378|6|domiciliaire L:0.15 M:0.86|à domicile L:0.15 M:0.66|domicile L:0.06 M:0.73|au domicile L:0.03 M:0.67|à domicile. L:0.01 M:0.60
http://snomed.info/id/161116001|http://www.w3.org/2004/02/skos/core#prefLabel|Pre-school|pré-scolaire|pré-scolaire|école maternelle|0.0|0.7804149985313416|0.9487138986587524|13|pré-scolaire L:0.11 M:0.96|préscolaire L:0.05 M:0.78|maternelle L:0.03 M:0.48|préscolaire. L:0.02 M:0.71
http://snomed.info/id/161119008|http://www.w3.org/2004/02/skos/core#prefLabel|Primary school|école primaire|école primaire|OK|1.0|1|1|0|école primaire L:0.64 M:0.97|primaire L:0.01 M:0.55|collège L:0.01 M:0.51|scolarité primaire L:0.01 M:0.95|première école L:0.01 M:0.87
http://snomed.info/id/161120002|http://www.w3.org/2004/02/skos/core#prefLabel|Secondary school|école secondaire|école secondaire|établissement d'enseignement secondaire|0.3032653298563167|0.9459256529808044|0.911101222038269|25|école secondaire L:0.53 M:0.92|collège L:0.04 M:0.60|secondaire L:0.04 M:0.66|lycée L:0.02 M:0.86|secondaire scolaire L:0.01 M:0.90
http://snomed.info/id/161124006|http://www.w3.org/2004/02/skos/core#prefLabel|Boarding school|internat|internat|pensionnat|0.0|0.4615384340286255|0.7815344929695129|6|internat L:0.42 M:0.79|pensionnat L:0.21 M:0.40|pensionnaire L:0.02 M:0.45|internat. L:0.00 M:0.77|pensionnat. L:0.00 M:0.44
http://snomed.info/id/182719007|http://www.w3.org/2004/02/skos/core#prefLabel|Antigen-free surroundings|environnement sans antigène|environnement sans antigène|environnement exempt d'antigènes|0.408248290463863|0.80158531665802|0.7525507807731628|9|environnement sans antigène L:0.10 M:0.76|environnement exempt d'antigènes L:0.04 M:0.89|environnement sans antigènes L:0.03 M:0.76|environnement exempt d'antigène L:0.03 M:0.87|environnement non antigénique L:0.02 M:0.74
http://snomed.info/id/20078004|http://www.w3.org/2004/02/skos/core#prefLabel|Substance abuse treatment centre|centre de désintoxication|centre de désintoxication|centre de traitement des addictions aux substances|0.15218787864872976|0.8016005158424377|0.734432578086853|32|centre de désintoxication L:0.03 M:0.76|centre de traitement de toxicomanie L:0.02 M:0.92|centre antidrogue L:0.02 M:0.83|centre de toxicomanie L:0.02 M:0.89|centre de traitement des toxicomanes L:0.01 M:0.92
http://snomed.info/id/216312009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning|lieu de l'accident ou de l'intoxication|lieu de l'accident ou de l'intoxication|OK|1.0|1|0.927996039390564|0|lieu de l'accident ou de l'intoxication L:0.20 M:0.93|lieu de l'accident ou de l'intoxication. L:0.04 M:0.87|place de l'accident ou de l'intoxication L:0.01 M:0.91|le lieu de l'accident ou de l'intoxication. L:0.01 M:0.91|place de l'accident ou de l'intoxication. L:0.00 M:0.86
